Election_ID,State,Constituency_Code,Constituency_Name,Round,Last_Updated_Time,Candidate_Name,Party,Gender,Age,Education,Criminal_Cases,Assets_Cr,Liabilities_Cr,Campaign_Spending_Cr,Social_Media_Followers,Speech_Sentiment,Popularity_Score,Historical_Win_Rate,Registered_Voters,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Vote_Surge_Score,Constituency_Volatility,Independent_Candidate_Count,Voter_Turnout,Urban_Voter_Ratio,Rural_Voter_Ratio,Postal_Vote_Ratio,Fraud_Risk_Score,Anomaly_Score,Strategic_Manipulation_Score,Bot_Activity_Flag,Fake_News_Score,Cyber_Attack_Risk,Booth_Capture_Risk,Deepfake_Propagation_Score,Suspicious_Timing_Index,Vote_Injection_Risk,Attack_Type,Defense_Strategy,Adversarial_Pressure,Strategic_Polarization_Index,Influence_Network_Strength,Vote_Change_Per_Round,Late_Round_Surge,Time_Between_Updates_min,Sequential_Risk_Score,EVM_Device_ID,Server_Delay_ms,Network_Failure_Count,Power_Outage_Risk,Noise_Float_1,Noise_Float_2,Noise_Category,Correlated_Noise_Score,Fraud_Proxy_Duplicate,Election_Result,Fraud_Label,Risk_Category
708c9184-0c33-4b18-acde-478982943b77,Uttar Pradesh,C0541,Muzaffarnagar,7,2024-06-01T17:58:41.496429+05:53,Henry Mutti,Independent,Male,65,Post-Graduate,0,1.35,0.37,0.2,308832,0.6463,0.6527,0.3141,125417,87701,2350,90051,71.8,0.0674,0.2534,3,0.718,0.3991,0.6009,0.0261,0.4387,0.4399,0.3952,True,0.5791,0.3856,0.553,0.6786,0.5004,0.167,Cyber Intrusion,Multi-layer Encryption,1.0,0.7301,0.3862,0.0032,0.2841,33.8,0.5311,EVM-IN603LGQ,359.0,5,0.1379,56.99,68.269,C,0.4633,0.3691,Won,1,High
377cdf22-0b01-476e-9a4d-ddf64e76fec6,Chhattisgarh,C0100,Giridih,5,2024-05-20T13:45:05.724166+05:53,Noah Subramaniam,AAP,Male,59,Post-Graduate,0,1.52,0.45,,11017,0.1357,0.5198,0.533,106711,78376,3507,81883,76.73,0.0988,0.3664,3,0.7673,0.4307,0.5693,0.0428,0.2693,0.2652,0.2138,False,0.1995,0.2531,0.4616,0.1106,0.4639,0.1802,Cyber Intrusion,Multi-layer Encryption,0.965,0.6675,0.2635,-0.0357,0.0086,23.4,0.2401,EVM-JX890SRJ,163.6,2,0.0764,43.313,63.143,D,0.3076,0.2241,Lost,0,Medium
defe3a97-17a0-46d2-9a48-24faa426f028,Jharkhand,C0330,Chennai,4,2024-05-14T07:42:53.386191+05:53,Sanya Tak,YSRCP,Female,42,Post-Graduate,4,1.1,0.08,0.25,11201,0.5515,0.5481,0.2766,73975,30830,6904,37734,51.01,0.1809,0.1289,3,0.5101,0.2237,0.7763,0.183,0.3315,0.2069,0.2941,False,0.278,0.4338,0.5721,0.191,0.1971,0.2877,Cyber Intrusion,Multi-layer Encryption,,0.6968,0.3523,-0.0484,0.0,12.6,0.1676,EVM-LG395LYY,,1,0.2806,91.158,42.239,A,0.5159,0.2132,Lost,0,Medium
01946611-21c2-4222-a761-46a41ca03f3a,Maharashtra,C0065,Bhusawal,1,2024-04-19T08:56:37.614881+05:53,Jalsa Narula,SP,Male,42,Graduate,0,14.49,2.95,1.44,1569,0.8155,0.6927,0.5224,120316,61972,5149,67121,55.79,0.2063,0.3569,5,0.5579,0.4482,0.5518,0.0767,0.2792,0.3235,0.3231,True,0.3945,0.2294,0.3358,0.614,0.1133,0.1514,Deepfake Campaign,Voter Education Drive,0.6171,0.4778,0.2105,-0.0381,0.0,80.5,0.1577,EVM-UV999XHS,,0,0.1413,77.568,55.133,B,0.0311,0.158,Won,0,Medium
08832d41-f959-4c57-8c21-bcd3e3875e34,Maharashtra,C0122,Alwar,3,2024-05-07T08:13:21.990512+05:53,Reyansh Jayaraman,CPM,Male,59,Graduate,4,0.27,0.09,0.03,101281,,0.5739,0.396,187451,114012,1738,115750,61.75,0.0604,0.2598,3,0.6175,0.4299,0.5701,0.015,0.1819,0.1599,0.1472,False,0.1165,0.1909,0.3113,0.1064,0.0769,0.0995,Disinformation Flood,Media Fact-Check,0.6189,0.3807,0.2938,-0.007,0.0,37.0,0.1244,EVM-RO132OXS,189.7,1,0.1635,15.978,32.219,A,0.0,0.0,Won,0,Medium
438b85af-2584-48cb-842a-7967ea103d0b,Maharashtra,C0476,Thrissur,4,2024-05-15T00:08:13.634125+05:53,Sanaya Kari,BJP,Male,63,Post-Graduate,1,0.94,0.04,0.09,41245,0.7984,0.6321,0.6582,198926,112633,5809,118442,59.54,0.0821,0.3159,4,0.5954,0.4953,0.5047,0.049,0.1611,0.1581,0.157,False,0.119,0.171,0.3274,0.0972,0.1136,0.1391,Vote Stuffing,Biometric Auth,0.5223,0.3533,0.1928,0.003,0.0,30.6,0.175,EVM-EZ657SEN,130.1,1,0.2002,45.778,70.282,A,0.4576,0.236,Lost,0,Low
9a9ef3a4-9028-4a9e-901b-cf161c6f85fe,West Bengal,C0127,Kota,6,2024-05-26T03:25:05.527028+05:53,Tanay Misra,BJP,Male,56,Graduate,3,15.55,4.15,3.97,3635,0.4479,0.5543,0.5945,135246,72126,11542,83668,61.86,0.0852,0.2281,5,0.6186,0.2375,0.7625,0.138,0.3237,0.2656,0.2413,False,0.2288,0.2973,0.5448,0.1345,0.4944,0.1999,Disinformation Flood,Media Fact-Check,0.8546,0.5446,0.3643,0.0094,0.014,20.0,0.2813,EVM-FO032PFD,119.3,2,0.1824,,19.861,C,0.005,0.2967,Won,1,Medium
e6dd1460-2de8-40ab-8ca6-71d2d702220f,Rajasthan,C0186,Nadiad,3,2024-05-08T17:13:58.411490+05:53,Forum Rajagopal,CPM,Male,61,12th Pass,2,2.59,0.95,0.6,56204,0.3936,0.417,0.5084,90968,64414,332,64746,71.18,0.0588,0.2349,4,0.7118,0.5739,0.4261,0.0051,0.2732,0.2963,0.2894,True,0.5474,0.3317,0.3201,0.6151,0.1174,0.108,Deepfake Campaign,Real-time Audit,0.8086,0.6175,0.2796,0.012,0.0,17.2,0.2213,EVM-WV841IYL,220.3,1,0.2833,98.191,58.812,B,0.0382,0.1831,Lost,1,Medium
08d4e928-de25-4bb3-a39e-8113d4f1b29d,Tamil Nadu,C0091,Secunderabad,7,2024-06-01T11:01:35.067713+05:53,Pallavi Chandran,RJD,Male,67,Doctorate,0,,0.91,0.79,6250,0.2389,0.5391,0.5094,463873,319440,3196,322636,69.55,0.0297,0.0566,2,0.6955,0.4536,0.5464,0.0099,0.3175,0.3957,0.4265,True,0.5449,0.6644,0.3156,0.67,0.5901,0.1006,Deepfake Campaign,Voter Education Drive,1.0,0.6354,0.6758,-0.0248,0.0636,101.1,0.4061,EVM-PH604VWK,404.4,1,0.5107,36.273,42.997,E,0.3758,0.3317,Won,1,Medium
3de2a3b1-0f0d-4bb7-a2c5-9b52805863db,West Bengal,C0046,Mahbubnagar,2,2024-04-26T15:24:34.153858+05:53,Ladli Patel,DMK,Male,59,10th Pass,0,0.55,0.02,0.06,19219,0.6092,0.6291,0.7,239591,124602,13830,138432,57.78,0.1294,0.4233,4,0.5778,0.4713,0.5287,0.0999,0.3216,0.3493,0.3546,True,0.545,0.4226,0.4644,0.6034,0.1819,0.2047,Booth Capture,CCTV Deployment,0.7471,0.4823,0.3644,-0.0238,0.0,91.4,0.2508,EVM-PC131NHI,222.6,2,0.1464,12.731,22.646,B,0.306,0.3508,Won,0,Medium
89ca8dd6-0b13-4975-8f5c-914e83b0c4f7,Gujarat,C0025,Varanasi,5,2024-05-20T11:04:12.310343+05:53,Lucky Chowdhury,JDU,Male,54,Post-Graduate,0,2.29,0.6,0.75,19218,0.5065,0.7308,0.3864,145997,78152,3960,82112,56.24,0.1157,0.1541,8,0.5624,0.5137,0.4863,0.0482,0.2381,0.2341,0.1886,False,0.1244,0.3057,0.2337,0.12,0.509,0.1058,Vote Stuffing,CCTV Deployment,0.7734,0.575,0.1031,-0.0106,0.0071,35.7,0.2424,EVM-VW996MLC,275.4,1,0.0851,96.529,51.854,C,0.3689,0.2076,Won,0,Medium
1e7507c5-c0a7-4b9c-9d2a-17502da26fbf,Uttar Pradesh,C0349,Jorhat,3,2024-05-08T18:22:49.166225+05:53,Anmol Bassi,SAD,Female,57,12th Pass,0,0.92,0.46,0.26,17386,0.4524,0.5653,0.1226,237294,167473,16828,184301,77.67,0.1251,0.4262,1,0.7767,0.3733,0.6267,0.0913,0.3626,0.3926,0.382,True,0.6047,0.581,0.512,0.6691,0.2129,0.1947,Physical Intimidation,None,0.6981,0.4879,0.2129,-0.0415,0.0,58.8,0.3054,EVM-HC679YLZ,219.6,5,0.1683,89.098,67.542,D,0.4,0.255,Lost,1,Medium
f2a723d2-c59b-4750-b1a9-0bd8126717c5,West Bengal,C0435,Burhanpur,3,2024-05-08T07:51:24.076207+05:53,Wishi Wadhwa,YSRCP,Male,53,Post-Graduate,6,0.8,0.3,0.19,2345,0.3402,0.3996,0.3312,115737,52228,8124,60352,52.15,0.2252,0.2196,3,0.5215,0.4067,0.5933,0.1346,0.4739,0.4112,0.4569,True,0.6352,0.5057,0.5194,0.7511,0.2213,0.2509,None,None,0.2287,0.3312,0.1759,0.0053,0.0,56.4,0.3034,EVM-SZ036CCY,487.5,2,0.3594,25.965,62.389,B,0.5538,0.482,Lost,1,Medium
cd1be118-f9a1-40c3-9353-b941720cea45,Bihar,C0330,Suryapet,6,2024-05-26T20:21:25.690176+05:53,Darika Parikh,TMC,Male,49,Doctorate,8,1.56,0.69,0.34,3282,0.5611,0.3695,0.3626,123862,88795,4071,92866,74.98,0.0976,0.1818,4,0.7498,0.5418,0.4582,0.0438,0.4534,0.485,0.4829,True,0.6492,0.536,0.4145,0.7527,0.5581,0.1906,EVM Tampering,Biometric Auth,1.0,0.687,0.2941,-0.0403,0.0357,79.2,0.48,EVM-ED987PRW,397.7,3,0.5216,3.401,56.612,D,0.4475,0.314,Won,0,High
b58bfb09-a55d-4b0b-a19e-7cc9e7564dfc,Tamil Nadu,C0294,Tadipatri,2,2024-04-26T12:57:39.151799+05:53,Daksh Ahluwalia,Independent,Male,46,Post-Graduate,5,7.94,4.41,,60274,0.4698,0.5243,0.7488,209945,138784,15219,154003,73.35,,0.1007,5,0.7335,0.3646,0.6354,0.0988,0.3053,0.3297,0.3666,True,0.6098,0.5226,0.2145,0.7194,0.1872,0.1003,None,None,0.1309,0.2463,0.1088,-0.007,0.0,44.5,0.2316,EVM-JQ644PJC,,2,0.3984,4.444,74.537,E,0.0,0.3413,Lost,0,Medium
de2a5139-a6d4-4b27-8104-36583e9f33ba,Odisha,C0246,Gangtok,1,2024-04-20T03:12:30.283374+05:53,Jai Dass,BJP,Male,51,Doctorate,0,2.38,1.03,0.26,10914,0.5891,0.604,0.5331,148725,91763,1052,92815,62.41,0.0743,0.2247,7,0.6241,0.5361,0.4639,0.0113,0.3,0.3597,0.3832,True,0.6251,0.5949,0.3271,0.7332,0.2348,0.1328,None,Multi-layer Encryption,0.0868,0.1503,0.0805,0.0367,0.0,22.1,0.1764,EVM-NX899GQH,390.3,1,0.1617,41.273,68.494,D,0.3228,0.0591,Won,0,Medium
c3ffb1e5-6cff-4328-bd6c-544046663c42,Maharashtra,C0166,Coimbatore,4,2024-05-14T04:57:28.621492+05:53,Utkarsh Varghese,BSP,Male,53,Post-Graduate,2,0.57,0.12,0.17,1516,0.5834,0.5616,0.7378,254646,139543,13186,152729,59.98,0.0867,0.1824,6,0.5998,0.6982,0.3018,0.0863,0.3196,0.3357,0.3665,True,0.5241,0.4007,0.2897,0.651,0.1841,0.1571,None,Real-time Audit,0.1476,0.2002,0.0988,-0.0207,0.0,113.0,0.2808,EVM-KT603OCN,274.3,1,0.2452,55.706,32.28,E,0.3725,0.428,Lost,0,Low
bbd8d948-4cce-40ea-bf37-f9cd4921a6ca,Rajasthan,C0257,Ambattur,4,2024-05-13T19:23:25.962021+05:53,Oviya Hans,CPM,Male,75,Graduate,0,1.84,0.35,0.37,19294,0.773,0.7368,0.4769,93731,72728,5606,78334,83.57,0.1821,0.3842,2,0.8357,0.3984,0.6016,0.0716,0.2205,0.1731,0.1828,False,0.2338,0.1957,0.3755,,0.1353,0.163,Bot Network,AI Monitoring,0.7406,0.5602,0.2856,0.0672,0.0,31.7,0.1351,EVM-RX064PUQ,243.8,1,0.1107,97.913,55.462,B,0.0827,0.3321,Won,0,Low
27cdc181-4bdc-48e7-9988-181ed6e136f9,Gujarat,C0352,Vijayawada,6,2024-05-27T00:23:28.793060+05:53,Aarnav Narayanan,BSP,Male,56,Post-Graduate,5,8.65,2.63,,22598,0.5476,0.5316,0.4913,106293,51539,3550,55089,51.83,0.1778,0.4404,1,0.5183,0.3882,0.6118,0.0644,0.2756,0.3034,0.2669,False,0.2199,0.4022,0.3426,0.1322,0.5844,0.1119,Deepfake Campaign,AI Monitoring,0.8724,0.61,0.519,0.0517,0.2371,36.0,0.3191,EVM-ZK660BQH,212.2,1,0.3873,52.95,50.058,A,0.3068,0.1858,Won,0,Medium
96463400-7322-4a79-a6a1-c937af907b1d,Uttar Pradesh,C0189,Salem,7,2024-06-01T04:24:38.765375+05:53,Warhi Rajagopal,SP,Male,52,10th Pass,5,4.45,1.3,0.86,10985,0.5164,0.4462,0.4595,196194,158435,3582,162017,82.58,0.1936,0.2074,4,0.8258,0.2294,0.7706,0.0221,0.4505,0.4448,0.4661,True,0.5517,0.4942,0.4677,0.6209,0.6084,0.2214,None,None,,0.1588,0.0901,0.0642,0.3941,40.4,0.5082,EVM-WU474HXA,364.2,4,0.3423,45.004,53.561,E,0.6047,0.4132,Lost,1,Medium
c427c803-7ce2-497a-be56-920716407d03,Gujarat,C0275,Alwar,1,2024-04-19T05:53:26.175475+05:53,Onkar Sibal,Independent,Female,54,12th Pass,1,1.92,0.18,0.69,90263,0.521,0.629,0.3562,67322,37831,1805,39636,58.88,0.097,0.007,5,0.5888,0.4025,0.5975,0.0456,0.182,0.1188,0.2038,False,0.1615,0.4387,0.2401,0.1221,0.1516,0.0948,None,None,0.0452,0.1901,0.043,0.0064,0.0,49.6,0.0265,EVM-LF600STF,255.5,2,0.3657,64.873,58.975,D,0.0,0.1921,Lost,0,Low
d6e0259b-4bf8-40b7-92f3-ee5939e73988,Maharashtra,C0034,Bharatpur,4,2024-05-14T14:26:31.090042+05:53,Widisha Mangat,BJP,Female,53,Post-Graduate,11,2.07,0.83,0.26,115707,0.3759,0.4041,0.3284,94103,60002,2910,62912,66.86,0.0356,0.1868,6,0.6686,0.2435,0.7565,0.0463,0.2737,0.1821,0.2483,False,0.2026,0.3273,0.4464,0.1575,0.1485,0.1626,Physical Intimidation,Network Firewall,0.5941,0.4555,0.1457,0.0023,0.0,59.1,0.1747,EVM-PP537ILM,185.1,0,0.1792,58.035,53.677,D,0.2807,0.265,Lost,0,Medium
b535235e-1ca3-4434-ada6-6b0a18ad718c,Uttar Pradesh,C0490,Uluberia,5,2024-05-20T03:25:51.417054+05:53,Rachit Gola,CPM,Male,54,Post-Graduate,0,51.9,9.78,14.82,2950,0.7004,0.6971,0.337,269358,207846,8150,215996,80.19,0.1465,0.0853,5,0.8019,0.4281,0.5719,0.0377,0.3452,0.2596,0.301,False,0.2385,0.3918,0.4413,0.1481,0.5182,0.2003,Cyber Intrusion,AI Monitoring,1.0,0.7109,0.1551,0.0115,0.0684,64.5,0.2134,EVM-YD505JYQ,262.2,5,0.07,19.022,57.03,B,0.0,0.2573,Lost,1,Medium
773102be-64cc-4d3e-8d50-75d4890692a7,Assam,C0499,Bhagalpur,7,2024-06-03T00:20:34.586148+05:53,Yutika Soni,CPM,Male,47,Post-Graduate,0,7.29,3.13,2.17,71710,0.5423,0.6345,0.41,177946,102380,3237,105617,59.35,0.0943,0.441,3,0.5935,0.4917,0.5083,0.0307,0.3333,0.2983,0.2796,False,0.2745,0.2971,0.6074,0.1261,0.4909,0.1463,Cyber Intrusion,Multi-layer Encryption,1.0,0.6647,0.2926,,0.0289,87.0,0.2589,EVM-BE481NXF,115.2,1,0.0864,14.653,36.952,E,0.4114,0.3256,Lost,1,Medium
ccc3c89d-220a-4b8e-8680-1f29cb290417,Chhattisgarh,C0245,Madurai,7,2024-06-02T23:28:21.150580+05:53,Robert Chakrabarti,BJP,Male,55,Graduate,0,1.24,0.48,0.38,158871,0.8676,0.8258,0.5594,316118,237421,12091,249512,78.93,0.1351,0.1514,4,0.7893,0.1686,0.8314,0.0485,0.3407,0.2778,0.2505,False,0.2729,0.3485,0.3961,0.1857,0.5212,0.1569,Deepfake Campaign,AI Monitoring,0.9313,0.6704,0.5128,0.0043,0.0487,66.3,0.306,EVM-UJ863YLE,241.7,2,0.1474,19.042,56.955,C,0.3636,0.3554,Won,0,High
60d48c6b-47ec-4a18-9cd6-83c69cec0636,Odisha,C0254,Deoghar,5,2024-05-20T01:16:18.519141+05:53,Ijaya Gade,RJD,Male,60,Post-Graduate,0,0.42,0.31,0.05,41671,0.6849,0.7332,0.5737,158821,85295,12904,98199,61.83,0.0639,0.0991,3,0.6183,0.7033,0.2967,0.1314,0.3076,0.3744,0.3051,True,0.5269,0.2331,0.2471,0.6284,0.4735,0.1642,None,Real-time Audit,0.0721,0.2903,0.0812,0.0211,0.1555,10.2,0.4164,EVM-DM005BSI,651.2,1,0.2557,90.987,53.182,B,0.2997,0.4434,Won,1,Medium
492ad2f4-9aaf-4e64-a8cd-7cc448035881,West Bengal,C0109,Ujjain,4,2024-05-14T09:15:32.644957+05:53,Samuel Yohannan,TMC,Male,67,Graduate,0,5.34,1.51,1.97,50060,0.433,0.4925,0.164,264543,130322,10880,141202,53.38,0.195,0.2294,6,0.5338,0.5799,0.4201,0.0771,0.2685,0.2024,0.2034,False,0.2501,0.2851,0.4222,0.1363,0.1651,0.1889,None,None,0.0999,0.1818,0.0751,0.0362,0.0,,0.1596,EVM-EH344WRW,218.6,0,0.0846,11.791,31.218,A,0.2635,0.2024,Lost,1,Low
6b5eacbd-f565-46ba-978c-a5ff117f88d7,Uttar Pradesh,C0323,Nadiad,1,2024-04-19T13:26:54.855299+05:53,Krish Bal,RJD,Male,54,12th Pass,1,0.19,0.04,0.06,16236,0.9231,0.6578,0.5193,241564,161627,28636,190263,78.76,0.1194,0.2223,2,0.7876,0.3678,0.6322,0.1505,0.2724,0.2443,0.296,False,0.3137,0.5376,0.4627,0.196,0.2612,0.2366,Deepfake Campaign,CCTV Deployment,0.7542,0.5171,0.1361,0.0289,0.0,39.4,0.1308,EVM-BA337BXK,537.1,3,0.3197,85.169,40.409,C,0.9175,0.2739,Won,0,Medium
9600e00e-42af-431a-af00-0fcffee6f052,Andhra Pradesh,C0114,Proddatur,3,2024-05-07T05:47:21.370500+05:53,Ekta Sehgal,BJP,Male,55,Post-Graduate,6,9.83,0.59,0.88,30518,0.4057,0.3596,0.3787,47068,36965,4267,41232,87.6,0.2129,0.0182,7,0.876,0.6396,0.3604,0.1035,0.3376,0.293,0.3604,True,0.4879,0.3866,0.3941,,0.2091,0.1939,None,None,0.1127,0.2039,0.0873,0.0418,0.0,38.5,0.1995,EVM-YC916IIR,612.6,1,0.1607,13.945,50.849,A,0.3328,0.1815,Won,0,Medium
3f2c49c5-fdf0-40e4-8e55-e4f09d17c5f8,Tamil Nadu,C0485,Anantapur,4,2024-05-13T22:43:57.193793+05:53,Gunbir Mukherjee,NCP,Male,62,12th Pass,3,0.87,0.24,0.1,128252,,0.6578,0.416,68065,51846,1548,53394,78.45,0.1397,0.5648,10,0.7845,0.423,0.577,0.029,0.2683,0.2384,0.1841,False,0.1091,0.2602,0.4842,0.1081,0.1639,0.1135,Vote Stuffing,CCTV Deployment,0.7592,0.5217,0.0779,0.032,0.0,103.6,0.2339,EVM-AK397ZRP,129.9,0,0.1104,53.809,51.339,C,0.0026,0.2587,Won,1,Medium
