student_id,age,gender,city,state,branch,year_of_study,cgpa,daily_study_hours,daily_screen_time_hours,daily_chatgpt_usage_hours,daily_coding_hours,favorite_ai_tool,ai_dependency_level,productivity_score,stress_level,sleep_hours,placement_status,expected_salary_lpa,internet_quality,preferred_programming_language,mental_wellbeing_score,ai_replaceability_fear
STU00074,28,Female,Hyderabad,Maharashtra,Civil,4,9.27,9.3,5.6,2.7,5.4,GitHub Copilot,Medium,63,2,6.2,Placed,32.85,Good,C++,64,10
STU00075,25,Male,Mumbai,Maharashtra,Civil,3,7.25,5.3,9.4,3.2,8.9,Claude,Medium,68,7,4.5,Placed,10.06,Average,Python,52,6
STU00076,20,Female,Delhi,West Bengal,Electrical,2,6.92,2.3,5.4,6.2,4.7,GitHub Copilot,Medium,64,3,4.2,Not Placed,34.44,Good,JavaScript,98,7
STU00077,27,Male,Bangalore,Tamil Nadu,AI/ML,2,8.21,1.5,9.9,3.0,1.2,Gemini,High,62,8,6.8,Internship,26.27,Good,Java,89,6
STU00078,24,Male,Bangalore,Maharashtra,IT,2,8.45,3.2,8.3,4.3,6.5,Claude,Low,71,3,5.8,Internship,28.53,Average,Python,97,3
STU00079,19,Female,Kolkata,Telangana,ENTC,1,8.26,1.3,8.6,6.9,5.1,GitHub Copilot,High,66,5,4.9,Internship,19.33,Good,Python,39,4
STU00080,28,Female,Hyderabad,Maharashtra,IT,2,8.83,2.0,11.8,1.3,4.8,GitHub Copilot,Medium,100,8,5.9,Internship,10.96,Excellent,Java,37,4
STU00081,19,Female,Kolkata,Karnataka,CSE,4,8.35,1.3,11.1,4.2,7.9,ChatGPT,High,93,10,6.6,Not Placed,4.12,Average,Python,58,1
STU00082,28,Male,Mumbai,Telangana,Mechanical,4,6.13,8.2,7.9,3.5,2.9,Perplexity,High,71,5,5.4,Internship,33.91,Average,C++,80,4
STU00083,25,Male,Bangalore,Maharashtra,Civil,2,7.41,9.0,9.8,6.9,7.7,Claude,Medium,95,8,8.8,Not Placed,25.33,Average,JavaScript,71,3
STU00084,20,Male,Mumbai,Delhi,Civil,2,9.04,7.6,9.3,5.7,6.4,Claude,Low,79,8,4.2,Placed,19.52,Poor,C++,35,10
STU00085,23,Female,Mumbai,Karnataka,Civil,2,8.99,3.2,7.6,3.5,3.6,Claude,High,66,4,4.6,Not Placed,19.82,Good,Python,72,5
STU00086,24,Female,Ahmedabad,Delhi,Mechanical,3,7.46,7.0,8.6,0.2,0.3,Gemini,Medium,71,9,7.5,Placed,25.64,Average,Python,85,1
STU00087,27,Female,Kolkata,Gujarat,ENTC,2,9.72,8.9,7.6,5.0,4.1,Gemini,Medium,41,4,5.1,Internship,15.05,Average,Python,46,5
STU00088,20,Female,Delhi,Telangana,Mechanical,4,5.96,7.0,4.3,3.8,8.7,GitHub Copilot,High,52,1,4.2,Placed,7.86,Average,Python,61,1
STU00089,24,Female,Chennai,Karnataka,Civil,4,6.81,9.5,12.9,1.3,8.8,GitHub Copilot,High,98,2,7.8,Internship,20.28,Good,JavaScript,53,10
STU00090,23,Male,Chennai,Karnataka,IT,1,9.6,8.9,6.7,5.3,5.8,Gemini,Medium,80,6,5.6,Not Placed,8.74,Poor,Java,93,1
STU00091,26,Male,Kolkata,Maharashtra,AI/ML,1,7.55,3.4,6.3,7.6,4.2,Gemini,Medium,81,4,7.4,Not Placed,13.76,Average,Python,61,8
STU00092,17,Male,Mumbai,Telangana,AI/ML,4,9.88,6.9,4.4,0.8,8.5,Claude,High,48,3,8.7,Internship,22.88,Excellent,JavaScript,60,2
STU00093,23,Male,Ahmedabad,Maharashtra,Civil,3,5.57,3.0,11.6,7.0,4.1,ChatGPT,Low,98,8,5.8,Internship,11.78,Average,Python,61,4
STU00094,20,Male,Mumbai,West Bengal,IT,3,6.01,2.0,13.4,6.5,1.5,ChatGPT,Low,55,1,5.0,Internship,23.98,Good,C++,76,2
STU00095,20,Female,Pune,West Bengal,CSE,3,8.86,8.3,4.0,7.9,2.1,ChatGPT,High,84,9,6.9,Internship,21.8,Excellent,Python,77,6
STU00096,24,Male,Nagpur,Tamil Nadu,ENTC,1,9.76,6.9,9.0,4.2,6.9,ChatGPT,Low,93,2,4.5,Placed,3.07,Excellent,JavaScript,55,9
STU00097,28,Male,Nagpur,Gujarat,Civil,2,9.69,5.5,5.9,2.9,7.2,Claude,High,97,3,5.9,Placed,27.65,Average,C++,63,2
STU00098,24,Male,Mumbai,Delhi,Electrical,1,7.44,8.6,2.9,3.8,4.2,Claude,Medium,82,8,5.3,Not Placed,33.2,Poor,Python,89,3
STU00099,26,Female,Nagpur,Gujarat,Mechanical,3,9.48,5.0,3.2,1.7,2.4,GitHub Copilot,High,81,10,6.4,Not Placed,13.83,Average,Python,58,8
STU00100,22,Male,Mumbai,Tamil Nadu,Electrical,2,8.91,5.3,12.4,8.0,2.0,GitHub Copilot,Medium,55,7,7.1,Not Placed,30.12,Good,C++,100,10
STU00101,25,Male,Nagpur,Maharashtra,ENTC,2,9.66,3.6,10.7,0.1,7.9,Gemini,Medium,96,7,4.3,Placed,26.47,Excellent,Java,65,3
STU00102,20,Male,Mumbai,Telangana,Electrical,3,9.88,5.5,4.5,4.8,5.6,Claude,Low,60,7,7.3,Not Placed,8.52,Poor,Python,36,9
STU00103,23,Female,Kolkata,West Bengal,Electrical,1,9.45,6.6,2.5,5.5,1.8,Claude,Low,58,8,4.1,Internship,20.63,Average,JavaScript,39,4
STU00104,20,Male,Nagpur,West Bengal,Civil,3,9.08,8.7,3.2,5.3,6.4,Gemini,Medium,51,5,5.5,Placed,34.08,Excellent,C++,60,7
STU00105,28,Female,Delhi,Maharashtra,IT,1,6.73,1.6,8.2,5.6,2.2,Gemini,Medium,67,3,5.7,Not Placed,21.04,Good,C++,37,4
STU00106,24,Male,Pune,West Bengal,CSE,3,9.4,7.7,4.5,2.0,4.7,Claude,Low,96,7,7.8,Internship,22.8,Poor,Python,88,3
STU00107,17,Male,Mumbai,Karnataka,AI/ML,1,7.71,6.4,11.1,4.3,8.1,ChatGPT,Low,55,8,8.7,Not Placed,32.29,Good,Python,83,8
STU00108,18,Male,Hyderabad,Karnataka,Civil,4,8.82,3.2,6.6,2.2,5.9,Perplexity,High,61,9,5.6,Internship,27.14,Poor,Python,52,4
STU00109,21,Male,Ahmedabad,Maharashtra,ENTC,2,6.0,8.0,9.0,6.7,3.9,Claude,High,71,9,7.1,Not Placed,20.74,Good,Python,44,4
STU00110,26,Female,Chennai,Maharashtra,AI/ML,3,9.79,7.8,8.5,1.4,8.1,ChatGPT,Low,59,8,5.0,Internship,23.8,Excellent,Java,91,8
STU00111,20,Male,Kolkata,Maharashtra,Mechanical,4,9.62,3.0,4.7,6.8,7.4,Claude,Low,81,4,5.8,Placed,11.48,Poor,Python,97,9
STU00112,28,Male,Delhi,Delhi,ENTC,3,6.06,9.9,12.0,7.2,4.6,Gemini,High,46,1,4.6,Not Placed,4.68,Good,JavaScript,40,1
STU00113,22,Female,Kolkata,West Bengal,Civil,3,6.95,9.3,13.4,6.7,1.4,Perplexity,Medium,69,8,6.1,Not Placed,10.88,Average,Python,41,7
STU00114,27,Male,Chennai,Karnataka,Civil,1,6.4,7.2,7.8,2.6,0.9,ChatGPT,Medium,51,10,6.7,Internship,14.1,Poor,Python,69,6
STU00115,26,Female,Delhi,Delhi,Mechanical,2,7.22,3.8,6.6,4.4,0.1,Perplexity,Medium,94,9,8.2,Placed,32.5,Good,C++,66,7
STU00116,17,Male,Nagpur,Maharashtra,IT,1,7.92,3.4,13.9,3.1,6.2,Claude,Low,74,4,7.4,Placed,16.9,Excellent,Java,46,5
STU00117,21,Female,Nagpur,Tamil Nadu,IT,2,6.38,9.7,2.8,3.9,2.0,Perplexity,Low,97,4,5.5,Internship,29.51,Excellent,JavaScript,61,1
STU00118,19,Female,Kolkata,Telangana,ENTC,1,7.12,1.8,4.4,6.9,8.8,Claude,Medium,73,1,5.3,Placed,24.61,Excellent,Python,76,6
STU00119,22,Female,Nagpur,Delhi,Electrical,1,5.86,7.5,7.0,7.3,2.8,ChatGPT,High,83,10,8.7,Placed,19.1,Good,C++,54,9
STU00120,28,Female,Bangalore,Tamil Nadu,IT,2,7.04,6.8,5.0,1.8,1.8,Claude,High,71,10,8.8,Not Placed,18.77,Excellent,C++,93,8
STU00121,17,Male,Kolkata,Telangana,AI/ML,3,8.81,5.3,9.1,4.7,8.8,GitHub Copilot,Low,57,5,7.3,Placed,10.67,Poor,Python,93,6
STU00122,19,Female,Mumbai,Gujarat,Electrical,2,5.57,3.0,7.5,3.1,7.3,Claude,Low,67,2,7.9,Internship,5.85,Excellent,Java,86,3
STU00123,25,Male,Pune,Karnataka,Mechanical,2,9.69,5.7,9.2,3.2,5.8,Gemini,Low,81,1,8.4,Internship,24.57,Average,Java,61,6
STU00124,17,Male,Ahmedabad,West Bengal,ENTC,3,9.77,7.3,11.9,0.4,6.1,Gemini,Medium,43,3,7.3,Not Placed,6.26,Average,Java,64,10
STU00125,18,Male,Pune,Telangana,Civil,1,9.21,6.5,3.2,4.8,4.3,Claude,Low,83,8,5.2,Internship,3.63,Excellent,JavaScript,36,1
STU00126,20,Male,Delhi,Maharashtra,Electrical,4,7.11,6.6,6.0,2.5,6.8,Gemini,Low,73,2,7.8,Not Placed,26.0,Poor,JavaScript,89,9
STU00127,24,Female,Hyderabad,Maharashtra,AI/ML,4,5.95,5.6,8.7,6.0,8.1,GitHub Copilot,High,55,2,5.8,Internship,16.72,Excellent,C++,94,4
STU00128,23,Female,Chennai,Karnataka,IT,1,8.72,7.0,8.7,2.8,1.8,ChatGPT,Medium,87,2,4.9,Not Placed,5.61,Good,C++,70,8
STU00129,26,Male,Nagpur,Delhi,CSE,2,5.86,8.6,6.6,0.5,8.1,GitHub Copilot,Medium,87,7,5.1,Internship,11.58,Excellent,C++,69,6
STU00130,25,Female,Bangalore,Telangana,ENTC,3,6.36,9.7,3.4,5.8,8.4,GitHub Copilot,Low,57,6,7.3,Placed,30.48,Average,Java,57,9
STU00131,22,Female,Pune,Tamil Nadu,Electrical,2,6.57,7.1,10.4,3.7,7.8,GitHub Copilot,Medium,43,1,7.5,Not Placed,31.64,Poor,C++,41,7
STU00132,25,Male,Chennai,Karnataka,IT,2,8.81,5.7,8.0,3.6,0.2,ChatGPT,High,97,3,6.7,Internship,16.54,Poor,C++,72,9
STU00133,20,Female,Ahmedabad,Delhi,AI/ML,1,6.19,2.1,7.4,0.3,8.9,Claude,Medium,48,7,5.9,Not Placed,15.23,Poor,Java,45,4
STU00134,26,Female,Pune,West Bengal,Electrical,2,5.72,4.8,2.2,0.2,3.1,Gemini,Medium,81,10,8.1,Placed,17.68,Good,JavaScript,45,5
STU00135,17,Male,Nagpur,Karnataka,AI/ML,3,5.57,2.5,10.9,5.9,6.8,Perplexity,Medium,86,6,5.8,Not Placed,14.27,Good,JavaScript,89,5
STU00136,25,Male,Pune,West Bengal,ENTC,3,9.03,4.6,10.7,4.6,3.3,ChatGPT,Low,82,5,4.4,Not Placed,6.72,Average,C++,73,7
STU00137,19,Male,Delhi,Telangana,IT,3,9.41,5.1,13.9,2.9,2.2,Gemini,Medium,68,9,5.8,Not Placed,13.98,Good,C++,76,9
STU00138,20,Male,Chennai,Gujarat,CSE,2,8.3,1.1,11.2,3.3,3.9,GitHub Copilot,Low,49,1,6.4,Placed,17.37,Average,Python,58,8
STU00139,19,Male,Bangalore,Telangana,Mechanical,1,7.69,4.1,7.4,3.2,4.7,ChatGPT,High,100,9,7.1,Placed,10.71,Average,Java,80,10
STU00140,20,Male,Ahmedabad,Karnataka,Electrical,1,7.74,6.4,2.2,4.2,2.2,ChatGPT,Medium,80,6,6.0,Placed,29.45,Poor,JavaScript,83,6
STU00141,22,Male,Pune,Gujarat,CSE,3,6.94,5.3,2.3,2.5,5.8,Perplexity,High,98,8,5.6,Not Placed,9.59,Poor,JavaScript,98,6
STU00142,27,Female,Pune,Delhi,IT,2,6.78,9.6,3.0,3.7,0.5,GitHub Copilot,Medium,75,6,6.7,Placed,7.67,Poor,JavaScript,32,3
STU00143,24,Male,Ahmedabad,Gujarat,Civil,4,8.29,3.4,10.3,2.8,0.0,Perplexity,Low,66,7,5.5,Internship,5.62,Good,JavaScript,98,6
STU00144,22,Female,Hyderabad,Telangana,IT,3,7.68,3.6,9.7,4.0,0.3,Perplexity,Medium,95,7,5.6,Placed,18.65,Average,Java,53,6
STU00145,18,Female,Hyderabad,West Bengal,CSE,3,8.02,1.9,9.8,2.7,1.6,Claude,High,46,5,8.0,Internship,5.2,Average,C++,75,1
STU00146,24,Female,Mumbai,Telangana,Electrical,3,9.59,7.4,7.7,0.1,3.5,Gemini,Medium,87,1,7.2,Placed,30.49,Excellent,Java,97,10
STU00147,21,Male,Delhi,Telangana,AI/ML,3,8.22,4.6,7.4,7.0,3.2,GitHub Copilot,Low,84,6,4.3,Placed,17.17,Poor,JavaScript,71,8
STU00148,27,Male,Ahmedabad,Telangana,AI/ML,3,9.89,4.4,4.3,0.4,1.5,Gemini,Medium,44,5,5.6,Internship,21.38,Excellent,JavaScript,59,5
STU00149,27,Male,Mumbai,Delhi,Mechanical,3,8.43,1.4,13.2,1.9,1.3,Claude,High,84,5,6.7,Placed,24.68,Good,Java,47,8
STU00150,28,Male,Hyderabad,Karnataka,CSE,4,6.85,7.0,5.5,7.2,7.9,ChatGPT,Medium,46,4,4.4,Not Placed,7.81,Excellent,Java,39,4
STU00151,26,Female,Chennai,Tamil Nadu,CSE,2,8.57,1.0,11.9,2.8,6.7,GitHub Copilot,Medium,71,10,4.2,Internship,9.7,Excellent,Python,84,6
STU00152,23,Female,Mumbai,Gujarat,ENTC,4,5.81,2.6,6.6,3.9,8.2,Claude,Low,48,8,7.1,Internship,25.61,Excellent,JavaScript,68,1
STU00153,24,Female,Ahmedabad,West Bengal,Mechanical,1,5.86,3.6,13.9,4.5,7.1,Claude,Medium,44,10,4.2,Not Placed,5.69,Poor,Java,33,2
STU00154,21,Male,Bangalore,Telangana,Electrical,1,5.98,1.1,13.1,2.0,9.0,Gemini,High,98,9,7.7,Placed,11.02,Average,JavaScript,41,8
STU00155,22,Male,Mumbai,Delhi,ENTC,2,9.86,8.8,4.0,1.5,6.1,ChatGPT,Low,54,1,4.4,Internship,21.7,Good,Python,30,5
STU00156,18,Male,Chennai,Maharashtra,IT,4,5.79,3.0,13.4,4.0,5.2,ChatGPT,Low,53,10,5.3,Not Placed,17.08,Excellent,JavaScript,85,4
STU00157,18,Female,Mumbai,West Bengal,AI/ML,2,6.09,5.6,2.6,0.4,6.1,Claude,Low,48,1,4.3,Not Placed,19.68,Excellent,JavaScript,49,7
STU00158,21,Female,Kolkata,Telangana,IT,2,6.67,2.7,8.9,2.4,4.1,GitHub Copilot,Low,69,5,4.7,Not Placed,7.05,Good,C++,37,7
